date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:20	29793/29793	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202024%2012:10:40%20GMT	https://admin.pixelstrap.net/riho/template/landing-page.html	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/template/landing-page.html	(from )
13:11:25	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Mar%202024%2011:11:23%20GMT	https://admin.pixelstrap.net/robots.txt		(from )
13:11:27	2989/2989	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jun%202023%2008:10:36%20GMT	https://admin.pixelstrap.net/riho/assets/images/favicon.png	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/images/favicon.png	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:30	37492/37492	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202023%2006:12:58%20GMT	https://admin.pixelstrap.net/riho/assets/css/font-awesome.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/font-awesome.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:31	112807/112807	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202023%2006:12:58%20GMT	https://admin.pixelstrap.net/riho/assets/css/vendors/icofont.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/vendors/icofont.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:33	4574/4574	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202023%2006:12:58%20GMT	https://admin.pixelstrap.net/riho/assets/css/vendors/slick.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/vendors/slick.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:35	3044/3044	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202023%2006:12:58%20GMT	https://admin.pixelstrap.net/riho/assets/css/vendors/slick-theme.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/vendors/slick-theme.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:35	25340/25340	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202023%2006:12:58%20GMT	https://admin.pixelstrap.net/riho/assets/css/vendors/animate.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/vendors/animate.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:37	271309/271309	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Jan%202024%2008:57:36%20GMT	https://admin.pixelstrap.net/riho/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/vendors/bootstrap.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
13:11:42	81049/81049	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202024%2013:52:59%20GMT	https://admin.pixelstrap.net/riho/assets/css/responsive.css	C:/My%20Web%20Sites/Riho/admin.pixelstrap.net/riho/assets/css/responsive.css	(from https://admin.pixelstrap.net/riho/template/landing-page.html)
