date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:03	303252/303252	---M-Z	200	added ('OK')	text/html	etag:%224a094-6258aaeb3af6d-gzip%22	https://themesbrand.com/velzon/html/modern/index.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/index.html	(from )
10:45:05	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
10:45:11	2139/2139	---M-Z	200	added ('OK')	text/css	etag:%2285b-6258aaeb1cb03-gzip%22	https://themesbrand.com/velzon/html/modern/assets/libs/jsvectormap/jsvectormap.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/libs/jsvectormap/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:12	18459/18459	---M-Z	200	added ('OK')	text/css	etag:%22481b-6258aaeb24805-gzip%22	https://themesbrand.com/velzon/html/modern/assets/libs/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:22	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-60743106a53ca-gzip%22	https://themesbrand.com/velzon/html/modern/assets/js/layout.js	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/js/layout.js	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:24	282437/282437	---M-Z	200	added ('OK')	text/css	etag:%2244f45-6258aaeaa1a18-gzip%22	https://themesbrand.com/velzon/html/modern/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:29	620111/620111	---MCZ	200	added ('OK')	text/css	etag:%229764f-6258aaeaa29b8-gzip%22	https://themesbrand.com/velzon/html/modern/assets/css/icons.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:30	44/44	---M--	200	added ('OK')	text/css	etag:%222c-6074310664c89%22	https://themesbrand.com/velzon/html/modern/assets/css/custom.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:31	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-6074310694a2a%22	https://themesbrand.com/velzon/html/modern/assets/images/logo-sm.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:31	340112/340112	---M-Z	200	added ('OK')	text/css	etag:%2253090-6258aaeaa1a18-gzip%22	https://themesbrand.com/velzon/html/modern/assets/css/app.min.css	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:31	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-6074310694a2a%22	https://themesbrand.com/velzon/html/modern/assets/images/logo-dark.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:31	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-6074310694a2a%22	https://themesbrand.com/velzon/html/modern/assets/images/logo-light.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:32	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-2.jpg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:32	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-3.jpg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:33	11561/11561	---M--	200	added ('OK')	image/jpeg	etag:%222d29-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-5.jpg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:34	297387/297387	---M-Z	200	added ('OK')	text/html	etag:%22489ab-6258aaeb40d2f-gzip%22	https://themesbrand.com/velzon/html/modern/pages-search-results.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/pages-search-results.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:34	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-6074310690baa%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/us.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/us.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:34	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-6074310690baa%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/spain.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/spain.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:35	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-607431068cd2a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/germany.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/germany.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:35	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-607431068dcca%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/italy.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/italy.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:36	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-607431068fc0a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/russia.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/russia.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:36	2483/2483	---M--	200	added ('OK')	image/svg+xml	etag:%229b3-607431068adea%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/china.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/china.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:37	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-607431068cd2a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/french.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/french.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:37	259/259	---M--	200	added ('OK')	image/svg+xml	etag:%22103-6074310689e4a%22	https://themesbrand.com/velzon/html/modern/assets/images/flags/ae.svg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/flags/ae.svg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:38	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/github.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/github.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:38	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/bitbucket.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/bitbucket.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:38	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/dribbble.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/dribbble.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:39	772/772	---M--	200	added ('OK')	image/png	etag:%22304-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/dropbox.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/dropbox.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:39	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/mail_chimp.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:40	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-6074310688eaa%22	https://themesbrand.com/velzon/html/modern/assets/images/brands/slack.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/brands/slack.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:40	220416/220416	---M-Z	200	added ('OK')	text/html	etag:%2235d00-6258aaea94ef4-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-products.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/apps-ecommerce-products.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:43	62563/62563	---M--	200	added ('OK')	image/png	etag:%22f463-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-1.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/products/img-1.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:43	250519/250519	---M-Z	200	added ('OK')	text/html	etag:%223d297-6258aaea94ef4-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-product-details.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/apps-ecommerce-product-details.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:47	54572/54572	---M--	200	added ('OK')	image/png	etag:%22d52c-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-2.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/products/img-2.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:47	100267/100267	---M--	200	added ('OK')	image/png	etag:%22187ab-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-3.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/products/img-3.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:49	73544/73544	---M--	200	added ('OK')	image/png	etag:%2211f48-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-6.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/products/img-6.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:49	233119/233119	---M-Z	200	added ('OK')	text/html	etag:%2238e9f-6258aaea92fb3-gzip%22	https://themesbrand.com/velzon/html/modern/apps-ecommerce-checkout.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/apps-ecommerce-checkout.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:49	68652/68652	---M--	200	added ('OK')	image/png	etag:%2210c2c-60743106988aa%22	https://themesbrand.com/velzon/html/modern/assets/images/products/img-5.png	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/products/img-5.png	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:58	11948/11948	---M--	200	added ('OK')	image/jpeg	etag:%222eac-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-6.jpg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:45:59	9022/9022	---M--	200	added ('OK')	image/jpeg	etag:%22233e-60743106a442a%22	https://themesbrand.com/velzon/html/modern/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/velzon/html/modern/index.html)
10:46:00	433941/433941	---M-Z	200	added ('OK')	text/html	etag:%2269f15-6258aaeb3fd8f-gzip%22	https://themesbrand.com/velzon/html/modern/pages-profile.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/pages-profile.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:46:02	230464/230464	---M-Z	200	added ('OK')	text/html	etag:%2238440-6258aaea8f131-gzip%22	https://themesbrand.com/velzon/html/modern/apps-chat.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/apps-chat.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:46:02	298740/298740	---M-Z	200	added ('OK')	text/html	etag:%2248ef4-6258aaea9eb37-gzip%22	https://themesbrand.com/velzon/html/modern/apps-tasks-kanban.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/apps-tasks-kanban.html	(from https://themesbrand.com/velzon/html/modern/index.html)
10:46:02	211423/211423	---M-Z	200	added ('OK')	text/html	etag:%22339df-6258aaeb3edee-gzip%22	https://themesbrand.com/velzon/html/modern/pages-faqs.html	C:/My%20Web%20Sites/temp/themesbrand.com/velzon/html/modern/pages-faqs.html	(from https://themesbrand.com/velzon/html/modern/index.html)
